日期,市场,店铺类型,品牌,子品类,系列,是否进口,表面材质,规格,香味,置入方式,片数,包数,销售额,销量,均价
1709,阿里,天猫超市,KAO/花王,夜用,超瞬吸系列,国产,棉柔亲肤,300,其他,其他,10,1,64312.5000,7106,9.05045032
1709,阿里,天猫超市,KAO/花王,夜用,超瞬吸系列,国产,棉柔亲肤,其他,无香味,其他,8,1,179967.8000,12457,14.44712210
1709,阿里,天猫超市,KAO/花王,夜用,进口F系列,进口,棉柔亲肤,其他,无香味,其他,其他,其他,60763.4000,1696,35.82747642
1709,阿里,天猫超市,KAO/花王,夜用,进口零触感系列,进口,棉柔亲肤,300,无香味,其他,其他,其他,50602.5000,1435,35.26306620
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,其他,其他,其他,其他,4,1,2787.0000,162,17.20370370
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,其他,其他,其他,其他,8,1,24437.7000,1293,18.90000000
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,干爽网面,300,无香味,其他,4,1,54781.6000,5540,9.88837545
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,干爽网面,300,无香味,其他,8,1,195862.1000,17969,10.90000000
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,干爽网面,300,无香味,其他,8,2,15526.0700,1286,12.07314930
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,干爽网面,350,无香味,其他,16,2,75758.2900,2638,28.71807809
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,干爽网面,350,无香味,其他,8,2,20126.3900,1286,15.65038103
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,棉柔亲肤,350,其他,其他,4,1,144299.4000,11186,12.90000000
1709,阿里,天猫超市,KAO/花王,夜用,零触感系列,国产,棉柔亲肤,350,无香味,其他,8,1,265187.3000,19723,13.44558637
1709,阿里,天猫超市,KAO/花王,护垫,其他,国产,其他,140,其他,其他,35,1,59212.8000,4626,12.80000000
1709,阿里,天猫超市,KAO/花王,护垫,其他,国产,棉柔亲肤,140,无香味,其他,35,1,62755.5000,9095,6.90000000
1709,阿里,天猫超市,KAO/花王,护垫,国产护垫系列,国产,棉柔亲肤,140,有香味,其他,其他,4,39677.7400,1286,30.85360809
1709,阿里,天猫超市,KAO/花王,护垫,进口护垫系列,进口,其他,140,无香味,其他,72,1,44573.7600,1200,37.14480000
1709,阿里,天猫超市,KAO/花王,护垫,进口护垫系列,进口,其他,140,有香味,其他,72,1,15883.4000,706,22.49773371
1709,阿里,天猫超市,KAO/花王,护垫,进口护垫系列,进口,棉柔亲肤,140,无香味,其他,62,1,87432.6600,2355,37.12639490
1709,阿里,天猫超市,KAO/花王,护垫,进口零触感系列,进口,棉柔亲肤,170,无香味,其他,38,1,173724.8000,5328,32.60600601
1709,阿里,天猫超市,KAO/花王,日用,其他,进口,丝柔超薄,225,其他,其他,20,1,10214.4000,256,39.90000000
1709,阿里,天猫超市,KAO/花王,日用,其他,进口,丝柔超薄,230,其他,其他,60,3,12387.6000,124,99.90000000
1709,阿里,天猫超市,KAO/花王,日用,其他,进口,棉柔亲肤,220,无香味,其他,19,1,10663.5000,104,102.53365385
1709,阿里,天猫超市,KAO/花王,日用,其他,进口,棉柔亲肤,250,无香味,其他,其他,其他,152701.5000,4509,33.86593480
1709,阿里,天猫超市,KAO/花王,日用,超瞬吸系列,国产,其他,225,其他,其他,18,1,83545.2000,3984,20.97018072
1709,阿里,天猫超市,KAO/花王,日用,超瞬吸系列,国产,其他,225,其他,其他,8,1,41177.5000,3955,10.41150442
1709,阿里,天猫超市,KAO/花王,日用,超瞬吸系列,国产,棉柔亲肤,225,无香味,其他,30,1,93994.0000,5908,15.90961408
1709,阿里,天猫超市,KAO/花王,日用,进口F系列,进口,其他,225,无香味,其他,66,3,7708.5000,65,118.59230769
1709,阿里,天猫超市,KAO/花王,日用,进口F系列,进口,棉柔亲肤,225,有香味,其他,其他,其他,71744.9000,2159,33.23061603
1709,阿里,天猫超市,KAO/花王,日用,进口零触感系列,进口,丝柔超薄,205,其他,其他,28,1,81335.5500,2228,36.50608169
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,丝柔超薄,225,其他,其他,8,1,15425.0000,617,25.00000000
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,丝柔超薄,250,其他,其他,48,3,14999.1000,289,51.90000000
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,其他,225,其他,其他,90,3,82876.8000,1164,71.20000000
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,其他,250,其他,其他,28,1,86105.7000,3013,28.57806173
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,干爽网面,225,其他,其他,64,8,8424.9000,111,75.90000000
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,干爽网面,250,无香味,其他,16,1,50601.9100,2638,19.18192191
